id,scenario_id,regulation,function,category,subcategory,difficulty,financial_domain,risk_level,source_section,question,ground_truth,legal_basis,governance_axis,notes
Q011,S006,NIST_AI_RMF,GOVERN,Third-Party AI Risk,Vendor AI Risk Management,intermediate,common,high,GOVERN 6.1; GOVERN 6.2,"A bank's AI Review Committee discovers that 60% of its AI systems are built on third-party models (e.g., vendor credit scoring engines, external fraud detection APIs). How should the committee manage third-party AI risks per NIST AI RMF?","NIST AI RMF GOVERN 6.1 requires policies and procedures to address AI risks associated with third-party entities, including risks of infringement of intellectual property or other rights. GOVERN 6.2 requires contingency processes for failures or incidents in third-party AI systems deemed high-risk. For a financial institution, the AI Review Committee should: (1) establish a third-party AI due diligence process before onboarding any vendor AI system, including assessment of the vendor's own AI risk management practices; (2) require vendors to provide model documentation, risk assessments, and performance metrics; (3) include AI risk provisions in vendor contracts (right to audit, incident notification obligations, SLA for model performance); (4) classify vendor AI systems under the same risk tiering as internal systems; (5) develop contingency plans for high-risk vendor AI failures (fallback to manual processes or alternative vendors); and (6) conduct periodic vendor AI performance reviews.",NIST AI RMF GOVERN 6.1; GOVERN 6.2,G4,Third-party risk is critical in financial sector; connects to Basel model risk management
Q012,S006,NIST_AI_RMF,GOVERN,Third-Party AI Risk,Pre-trained Model Risk,advanced,common,high,GOVERN 6.2; MANAGE 3.2,"The bank is considering integrating a large pre-trained language model (LLM) from a major tech vendor into its customer advisory chatbot. What specific risks does NIST AI RMF identify for pre-trained models, and what should the AI Review Committee require?","NIST AI RMF Appendix B identifies specific risks of pre-trained models including: higher degrees of statistical uncertainty, bias management challenges, issues with scientific validity and reproducibility, and difficulty predicting failure modes. MANAGE 3.2 requires that pre-trained models used for development are monitored as part of regular AI system monitoring and maintenance. The AI Review Committee should require: (1) a pre-deployment evaluation of the LLM's behavior in financial advisory scenarios, including testing for hallucination rates, financial misinformation, and bias in product recommendations; (2) documentation of the model's training data provenance and known limitations; (3) implementation of guardrails (prompt engineering, output filtering) specific to financial regulatory requirements; (4) continuous monitoring post-deployment for model drift or unexpected outputs; (5) a rapid response protocol if the LLM produces financially harmful outputs; and (6) customer disclosure that AI is being used (aligned with AI기본법 제31조 투명성 의무).",NIST AI RMF GOVERN 6.2; MANAGE 3.2; Appendix B,G2,LLM-specific risk; directly relevant to the chatbot being designed in this research
Q013,S007,NIST_AI_RMF,MAP,AI Risk Context — Credit Scoring,Context Establishment,basic,lending,high,MAP 1.1,"A Korean bank plans to deploy an AI-based credit scoring system for personal loans. What contextual information must be documented before the AI Review Committee approves the system, per NIST AI RMF MAP function?","NIST AI RMF MAP 1.1 requires that intended purposes, potentially beneficial uses, context-specific laws, norms and expectations, and prospective deployment settings are understood and documented. For a credit scoring AI, the committee must document: (1) the specific purpose (automated credit scoring for personal loans under ₩100M); (2) the user population (retail banking customers in Korea, including potentially vulnerable groups); (3) the applicable legal context — EU AI Act Annex III §5(b) classifies creditworthiness evaluation AI as High-Risk, AI Basic Act §2(4)(사) covers decisions significantly affecting individual rights including loan review; (4) expected positive impacts (faster loan processing, consistent decisions) and negative impacts (potential discrimination, denial of credit to creditworthy borrowers); (5) the deployment environment (integrated with existing loan origination system, used by 200 branch loan officers); and (6) relevant performance metrics and acceptable thresholds.",NIST AI RMF MAP 1.1,G1,Foundational MAP question; establishes context for credit AI review
Q014,S007,NIST_AI_RMF,MAP,AI Risk Context — Credit Scoring,Risk Tolerance Documentation,intermediate,lending,high,MAP 1.5,"Before the AI Review Committee approves a new credit scoring model, it must document the organization's risk tolerance. What specific risk tolerance elements should be captured for a credit scoring AI per NIST AI RMF?","NIST AI RMF MAP 1.5 requires that organizational risk tolerances are determined and documented. For a credit scoring AI, the AI Review Committee should document: (1) performance tolerance thresholds — maximum acceptable false positive rate (approving bad loans) and false negative rate (rejecting good applicants), expressed as percentages with business impact estimates; (2) fairness tolerance — maximum acceptable disparity in approval rates across demographic groups (e.g., gender, age, region), potentially expressed as an adverse impact ratio; (3) explainability tolerance — minimum required ability to explain individual credit decisions to customers on request; (4) model drift tolerance — maximum acceptable degradation in model performance before mandatory re-review; (5) regulatory compliance tolerance — zero tolerance for violations of anti-discrimination laws; and (6) customer impact tolerance — maximum acceptable rate of erroneous credit denials before model suspension. These tolerances should be approved by the Board Risk Committee and reviewed annually.",NIST AI RMF MAP 1.5,G1,Quantitative risk tolerance documentation; key for G1 accuracy axis evaluation
Q015,S007,NIST_AI_RMF,MAP,AI Risk Context — Credit Scoring,Business Value Assessment,basic,lending,low,MAP 1.4,The AI Review Committee must assess the business value of a credit scoring AI before approval. What framework does NIST AI RMF provide for this assessment?,"NIST AI RMF MAP 1.4 requires that the business value or context of business use has been clearly defined or, in the case of assessing existing AI systems, re-evaluated. For a credit scoring AI, the committee should assess: (1) quantitative business benefits — projected reduction in loan processing time, improvement in credit decision consistency, expected reduction in default rates; (2) competitive value — how AI-driven credit scoring improves the bank's market position; (3) customer value — faster decisions, potentially broader access to credit; (4) non-monetary costs — staff displacement, customer trust risks if errors occur, regulatory compliance costs; and (5) opportunity cost — what alternative approaches (enhanced manual scoring, statistical models) would achieve and at what cost. MAP 3.2 further requires that potential costs, including non-monetary costs from AI errors, are examined and documented in connection with organizational risk tolerance.",NIST AI RMF MAP 1.4; MAP 3.2,G1,Business value assessment supports go/no-go decision framework
Q016,S008,NIST_AI_RMF,MAP,AI Risk Context — Insurance Pricing,System Categorization,intermediate,insurance,high,MAP 2.1; MAP 2.2,An insurance subsidiary of a financial group uses an AI system to determine life insurance premiums based on health and lifestyle data. How should the AI Review Committee categorize this system and document its knowledge limits per NIST AI RMF?,"NIST AI RMF MAP 2.1 requires that the specific tasks and methods used to implement AI tasks are defined (e.g., classifiers, risk estimators, recommenders). MAP 2.2 requires that information about the AI system's knowledge limits and how output may be utilized and overseen by humans is documented. For a life insurance pricing AI: (1) categorize as a risk estimation and classification system using supervised machine learning on health and lifestyle variables; (2) document the training data scope (age, health records, lifestyle factors, claims history) and the populations for which the model is validated versus extrapolated; (3) identify knowledge limits — the model may underperform for rare medical conditions, elderly populations, or underrepresented demographics; (4) specify how human underwriters utilize and override AI pricing recommendations, including the escalation criteria; and (5) note that this system is classified as High-Risk under EU AI Act Annex III §5(c) (risk assessment and pricing for life and health insurance) and may qualify as 고영향 인공지능 under AI Basic Act.",NIST AI RMF MAP 2.1; MAP 2.2,G1,Insurance AI is High-Risk under EU AI Act Annex III §5(c)
Q017,S008,NIST_AI_RMF,MAP,AI Risk Context — Insurance Pricing,Human Oversight Definition,intermediate,insurance,high,MAP 3.5,"For its AI-based life insurance pricing system, the AI Review Committee must define human oversight processes. What does NIST AI RMF require for documenting human oversight in AI-assisted pricing decisions?","NIST AI RMF MAP 3.5 requires that processes for human oversight are defined, assessed, and documented in accordance with organizational policies from the GOVERN function. For AI-based insurance pricing: (1) define the scope of human oversight — which premium decisions require mandatory human review (e.g., all cases flagged as high-risk by AI, all customers with pre-existing conditions, all premiums above a threshold); (2) specify the competency requirements for human reviewers — underwriters must understand the AI model's key variables and limitations; (3) document the override process — how underwriters can adjust AI-generated premiums and the required justification; (4) establish monitoring of override patterns — if overrides cluster around specific demographic groups, this signals potential bias; (5) define frequency of aggregate human review of AI pricing patterns (quarterly review by Chief Underwriter); and (6) create an appeals process for customers who dispute AI-driven premium decisions.",NIST AI RMF MAP 3.5,G2,Human oversight documentation; maps to EU AI Act Art.14 Human Oversight requirement
Q018,S009,NIST_AI_RMF,MAP,AI Risk Context — Fraud Detection,Impact Characterization,intermediate,fraud_detection,medium,MAP 5.1; MAP 5.2,The bank deploys an AI fraud detection system that can block customer transactions in real time. The AI Review Committee must characterize the impacts on affected individuals. What does NIST AI RMF require?,"NIST AI RMF MAP 5.1 requires that the likelihood and magnitude of each identified impact — both beneficial and harmful — based on expected use, past AI uses in similar contexts, and external feedback are documented. MAP 5.2 requires practices for regular engagement with relevant AI actors and feedback integration. For a real-time fraud detection AI: (1) beneficial impacts — preventing financial fraud, protecting customer assets, reducing bank losses; (2) harmful impacts on individuals — false positives blocking legitimate transactions, causing customer distress, emergency access denial (e.g., blocked transaction while traveling abroad), potential reputational harm to flagged customers; (3) magnitude assessment — quantify expected false positive rate and estimated number of affected customers monthly; (4) disproportionate impacts — assess whether false positives cluster among certain customer groups (elderly, foreign nationals, low-income); (5) note that unlike credit scoring AI, financial fraud detection AI is explicitly excluded from EU AI Act High-Risk classification under Annex III §5(b) exception; and (6) establish a customer appeal and rapid resolution process.",NIST AI RMF MAP 5.1; MAP 5.2,G2,Fraud detection AI is explicitly excluded from EU AI Act High-Risk per Annex III §5(b)
Q019,S009,NIST_AI_RMF,MAP,AI Risk Context — Fraud Detection,Third-Party Risk Mapping,advanced,fraud_detection,high,MAP 4.1; MAP 4.2,The fraud detection system relies on a third-party transaction monitoring vendor's AI engine. How should the AI Review Committee map legal and technical risks of this third-party component per NIST AI RMF?,"NIST AI RMF MAP 4.1 requires approaches for mapping AI technology and legal risks of components, including third-party data or software, to be in place, followed, and documented. MAP 4.2 requires internal risk controls for third-party AI components to be identified and documented. For the fraud detection vendor: (1) legal risk mapping — assess vendor contract terms for liability allocation if the AI causes wrongful transaction blocks; assess IP risks if proprietary customer data is used to train the vendor's shared model; assess data sovereignty risks if transaction data is processed outside Korea; (2) technical risk mapping — evaluate vendor model explainability (can the bank explain to customers why a transaction was flagged?); assess vendor model update frequency and notification obligations; (3) internal controls — establish performance benchmarks the vendor must meet; (4) document contingency if vendor service fails (fallback to rule-based fraud detection); and (5) conduct annual vendor AI risk audits.",NIST AI RMF MAP 4.1; MAP 4.2,G4,Third-party risk in fraud detection; legal risk mapping
Q020,S010,NIST_AI_RMF,MAP,AI Risk Context — Investment AI,Intended Purpose Documentation,basic,investment,high,MAP 1.1; MAP 1.3,A securities subsidiary uses an AI algorithm for automated portfolio rebalancing recommendations for retail investors. What must the AI Review Committee document about the system's intended purpose and organizational goals per NIST AI RMF?,"NIST AI RMF MAP 1.1 requires documentation of intended purposes, legal context, and deployment settings. MAP 1.3 requires that the organization's mission and relevant AI technology goals are understood and documented. For an investment advisory AI: (1) intended purpose — automated portfolio rebalancing recommendations based on customer risk profile, investment goals, and market conditions; NOT autonomous trading execution; (2) legal context — subject to Financial Investment Services and Capital Markets Act (자본시장법), FSC robo-advisor guidelines, customer suitability requirements; (3) organizational alignment — serves the bank's goal of democratizing investment advisory services to retail customers; (4) deployment setting — used by 500 investment advisors as a decision support tool, accessed by customers via mobile app for self-directed investing; (5) boundaries — the system does NOT make final investment decisions; human advisors confirm recommendations above ₩10M; and (6) known limitations — the system may underperform in extreme market conditions not represented in training data.",NIST AI RMF MAP 1.1; MAP 1.3,G1,Investment AI governance; connects to robo-advisor regulatory framework
Q021,S011,NIST_AI_RMF,MEASURE,Performance Measurement — Credit AI,Metrics Selection,intermediate,lending,high,MEASURE 1.1; MEASURE 2.3,The AI Review Committee must select appropriate performance metrics for evaluating the credit scoring AI. What measurement approach does NIST AI RMF prescribe?,"NIST AI RMF MEASURE 1.1 requires that approaches and metrics for measurement of AI risks identified during MAP are selected, starting with the most significant risks. MEASURE 2.3 requires that AI system performance criteria are measured quantitatively or qualitatively and demonstrated for conditions similar to deployment settings. For a credit scoring AI, the committee should select: (1) accuracy metrics — GINI coefficient, AUC-ROC, KS statistic, precision/recall across risk tiers; (2) fairness metrics — adverse impact ratio across demographic groups (gender, age, region), equal opportunity difference, disparate impact analysis; (3) explainability metrics — percentage of decisions explainable to customers using top contributing factors, consistency of explanations across similar cases; (4) stability metrics — population stability index (PSI) to detect model drift; and (5) business impact metrics — correlation between model score and actual default rates over time. The selection of metrics that cannot be measured must also be documented (MEASURE 1.1).",NIST AI RMF MEASURE 1.1; MEASURE 2.3,G1,Quantitative metrics selection; directly applicable to G1 accuracy evaluation in the research
Q022,S011,NIST_AI_RMF,MEASURE,Performance Measurement — Credit AI,Bias and Fairness Evaluation,advanced,lending,high,MEASURE 2.11,The AI Review Committee's quarterly review reveals the credit scoring AI approves 78% of male applicants but only 61% of female applicants with similar credit profiles. How should the committee evaluate and respond to this fairness finding per NIST AI RMF?,"NIST AI RMF MEASURE 2.11 requires that fairness and bias are evaluated and results are documented. The 17-percentage-point approval gap between male and female applicants with similar profiles is a significant fairness concern requiring immediate committee action. The evaluation process should: (1) determine the statistical significance of the disparity and whether it constitutes disparate impact (adverse impact ratio below 0.8 is a standard threshold); (2) investigate root causes — is the training data historically biased? Are proxy variables (e.g., employment sector, income type) correlated with gender? (3) distinguish between systemic bias (data represents historical discrimination), computational bias (algorithmic amplification), and human-cognitive bias (loan officers modifying AI recommendations differently by gender); (4) assess legal risk under Korean anti-discrimination laws and potential EU AI Act non-compliance; (5) determine immediate remediation — consider model adjustment, recalibration, or suspension pending investigation; (6) document all findings and remediation steps; and (7) establish ongoing monitoring with monthly fairness dashboards.",NIST AI RMF MEASURE 2.11; Part 1 §3.7,G2,Bias detection and response; high-stakes scenario for financial AI
Q023,S012,NIST_AI_RMF,MEASURE,Safety & Reliability Testing,Pre-deployment Testing,intermediate,common,high,MEASURE 2.5; MEASURE 2.6,"Before the AI Review Committee approves deployment of a new loan origination AI, what testing must be completed to demonstrate validity, reliability, and safety per NIST AI RMF?","NIST AI RMF MEASURE 2.5 requires that the AI system to be deployed is demonstrated to be valid and reliable, with limitations of generalizability documented. MEASURE 2.6 requires evaluation for safety risks, demonstration that residual negative risk does not exceed tolerance, and that the system can fail safely. Pre-deployment testing for a loan origination AI should include: (1) holdout validation — test on data not used in training, with performance disaggregated by customer segment and loan type; (2) stress testing — test performance under adverse economic conditions (recession scenarios, high unemployment periods) not represented in training data; (3) boundary testing — evaluate behavior for edge cases (near-threshold applicants, incomplete application data, unusual income patterns); (4) fail-safe testing — verify system behavior when data inputs are missing or corrupted (should default to human review, not approval); (5) fairness testing — evaluate approval rates and score distributions across demographic groups; and (6) adversarial testing — assess resistance to applicants gaming the system by manipulating input variables. Results must be documented with specific performance thresholds.",NIST AI RMF MEASURE 2.5; MEASURE 2.6,G1,Pre-deployment testing protocol; maps to EU AI Act Art.9 testing requirements
Q024,S012,NIST_AI_RMF,MEASURE,Safety & Reliability Testing,Security and Resilience,advanced,common,high,MEASURE 2.7,The AI Review Committee is concerned about adversarial attacks on the bank's AI systems. What security and resilience evaluation does NIST AI RMF require?,"NIST AI RMF MEASURE 2.7 requires that AI system security and resilience are evaluated and documented. For financial AI systems, the security evaluation should address: (1) adversarial example attacks — test whether carefully crafted loan applications can fool the credit scoring AI into approving high-risk borrowers; (2) data poisoning risks — assess whether malicious actors could corrupt training data pipelines to degrade model performance over time; (3) model extraction attacks — evaluate whether API access to the AI system could allow competitors or attackers to reverse-engineer the model; (4) membership inference attacks — assess whether the model leaks information about individuals in its training data (privacy risk); (5) availability attacks — test system resilience under high-volume transaction spikes (DDoS-equivalent for AI systems); and (6) insider threat — evaluate controls preventing unauthorized model modification by internal staff. Resilience testing should verify the system degrades gracefully and fails safely (to human review) rather than catastrophically. Align with NIST Cybersecurity Framework.",NIST AI RMF MEASURE 2.7; §3.3,G2,Cybersecurity of AI systems; critical for financial sector
Q025,S013,NIST_AI_RMF,MEASURE,Transparency & Explainability Measurement,Explainability Assessment,intermediate,lending,high,MEASURE 2.8; MEASURE 2.9,A customer whose loan application was rejected by the AI system demands an explanation. How should the AI Review Committee ensure the system meets explainability requirements per NIST AI RMF?,"NIST AI RMF MEASURE 2.8 requires that risks associated with transparency and accountability are examined and documented. MEASURE 2.9 requires that the AI model is explained, validated, and documented, and that AI system output is interpreted within its context to inform responsible use and governance. For loan rejection explanations: (1) the AI Review Committee should have required, at approval stage, that the model be inherently interpretable or post-hoc explainable (e.g., SHAP values, LIME) for all rejection cases; (2) the explanation provided to the customer must identify the top 3-5 factors that most negatively influenced the credit decision (e.g., 'debt-to-income ratio too high,' 'insufficient credit history'); (3) the explanation must be in plain language understandable to a non-expert; (4) the committee should measure explanation quality — consistency (same decision produces same explanation), fidelity (explanation accurately reflects model reasoning), and customer comprehension; and (5) this directly connects to AI Basic Act §3(2) which gives affected persons the right to receive meaningful explanations of AI decision-making.",NIST AI RMF MEASURE 2.8; MEASURE 2.9,G3,Explainability connects to AI기본법 §3② 설명 요구권 and EU AI Act Art.13 transparency
Q026,S013,NIST_AI_RMF,MEASURE,Transparency & Explainability Measurement,Privacy Risk Measurement,intermediate,common,high,MEASURE 2.10,"The AI Review Committee must assess privacy risks of the credit scoring AI, which processes sensitive personal financial data. What does NIST AI RMF require for privacy risk evaluation?","NIST AI RMF MEASURE 2.10 requires that privacy risk of the AI system is examined and documented. For a credit scoring AI processing personal financial data: (1) assess data minimization — is the model using only the minimum necessary personal data to achieve its purpose? Are proxy variables for sensitive attributes (age, gender, race) used and if so, are they necessary? (2) evaluate re-identification risk — can model outputs or feature importance scores be used to infer protected personal characteristics? (3) assess inference risks — can the AI system infer sensitive health conditions or financial vulnerability from transaction patterns that were not explicitly provided? (4) evaluate training data privacy — was the training data collected and used with appropriate consent? Are there individuals in the training set who can be identified? (5) assess data retention — how long is credit application data retained and for what purposes? (6) privacy-enhancing techniques — consider federated learning, differential privacy, or data anonymization where feasible. Document all findings and residual privacy risks.",NIST AI RMF MEASURE 2.10; §3.6,G3,Privacy risk measurement; important for financial data protection compliance
