id,condition,regulation,difficulty,financial_domain,risk_level,governance_axis,G4_score,G4_rationale
Q061,baseline,NIST_AI_RMF,basic,common,low,G1,0.8,"The response mostly complies with regulatory requirements by identifying relevant frameworks and obligations, but it omits specific references to the NIST AI RMF MAP 3.1 and does not fully address the need for equitable distribution of benefits across customer segments."
Q062,baseline,NIST_AI_RMF,advanced,common,medium,G4,0.6,"The response addresses some key provisions of the NIST AI RMF but omits critical details regarding the specific requirements for evaluating TEVV metrics, such as metric validity, completeness, and false assurance risk."
Q063,baseline,NIST_AI_RMF,advanced,insurance,high,G4,0.8,The response identifies key regulatory provisions and obligations under the NIST AI RMF but omits specific details on risk treatment prioritization and documentation of residual risks.
Q064,baseline,NIST_AI_RMF,intermediate,common,medium,G4,0.8,"The response correctly identifies the socio-technical nature of AI systems and provides actionable recommendations, but it misses specific references to the NIST AI RMF's emphasis on societal dynamics and does not fully address the cultural context relevant to Korean financial institutions."
Q065,baseline,NIST_AI_RMF,advanced,common,high,G2,0.8,"The response mostly complies with NIST AI RMF requirements by identifying interdependencies and assessing risks, but it lacks specific references to all key compliance obligations and detailed documentation requirements outlined in the NIST framework."
Q066,baseline,NIST_AI_RMF,advanced,common,high,G1,0.8,"The response mostly complies with NIST AI RMF requirements by addressing key points such as variance assessment and communication of uncertainty, but it lacks specific details on minimum performance floors and confidence intervals."
Q067,baseline,NIST_AI_RMF,intermediate,fraud_detection,medium,G2,0.8,"The response identifies and interprets several key mitigation options from the NIST AI RMF but omits specific resource considerations and the option to transfer risk, which are critical for comprehensive compliance."
Q068,baseline,NIST_AI_RMF,basic,fraud_detection,low,G3,0.6,"The response addresses some key compliance obligations under the NIST AI RMF but omits specific requirements for immediate customer notification, rapid resolution timelines, and incident logging, leading to notable omissions."
Q069,baseline,NIST_AI_RMF,intermediate,common,high,G3,0.8,"The response identifies key privacy principles and aligns them with relevant regulations, but it omits specific obligations from the NIST AI RMF and does not fully address inference risk control and third-party data risk as outlined in the ground truth."
Q070,baseline,NIST_AI_RMF,advanced,common,high,G2,0.8,"The response identifies several relevant risks and compliance obligations but omits specific references to critical risks outlined in the NIST AI RMF, such as hallucination risk and prompt injection attacks."
Q071,baseline,NIST_AI_RMF,intermediate,common,high,G3,0.6,The response addresses some key accountability measures from the NIST AI RMF but omits critical details such as specific logging requirements and the need for a designated AI risk officer.
Q072,baseline,NIST_AI_RMF,intermediate,common,medium,G4,0.8,The response mostly complies with NIST AI RMF principles for resource allocation but lacks specific references to critical obligations such as the cost-benefit framework and shared monitoring infrastructure.
Q073,baseline,NIST_AI_RMF,intermediate,common,low,G4,0.6,"The response addresses some relevant regulatory frameworks and provides recommendations for influencing incentive structures, but it notably omits specific references to the NIST AI RMF and its detailed requirements, leading to a partial compliance evaluation."
Q074,baseline,NIST_AI_RMF,advanced,investment,high,G2,0.6,"The response identifies some relevant systemic risk concerns but omits critical aspects of the NIST AI RMF, such as the need for a kill switch and real-world testing requirements, and does not fully address the specific regulatory framework applicable to high-frequency trading."
Q075,baseline,NIST_AI_RMF,intermediate,common,medium,G3,0.6,"The response addresses some key documentation standards from the NIST AI RMF but omits critical elements such as the specific requirements for model cards, data sheets, risk registers, and validation reports, which are essential for financial AI governance."
Q076,baseline,NIST_AI_RMF,advanced,lending,high,G2,0.8,"The response mostly complies with NIST AI RMF by identifying key points related to automation bias and human oversight, but it lacks specific details on measurement and cognitive audits as outlined in the ground truth."
Q077,baseline,NIST_AI_RMF,intermediate,common,medium,G4,0.6,"The response addresses some key aspects of the NIST AI RMF change management process but omits critical details such as change classification, pre-change impact assessment, and rollback plans."
Q078,baseline,NIST_AI_RMF,intermediate,compliance,high,G2,0.6,"The response addresses some key compliance obligations but notably omits specific requirements from the NIST AI RMF, such as documentation of knowledge limits, mandatory human review specifics, and version control."
Q079,baseline,NIST_AI_RMF,intermediate,common,high,G4,0.6,The response addresses some key compliance obligations under the NIST AI RMF but omits specific procurement tasks and critical details such as the vendor risk questionnaire and incident notification obligations.
Q080,baseline,NIST_AI_RMF,advanced,lending,high,G3,0.8,"The response mostly complies with NIST AI RMF requirements but lacks specific references to all key compliance obligations, such as fidelity assessment and simplicity-accuracy tradeoff."
Q081,baseline,NIST_AI_RMF,advanced,common,low,G4,0.6,"The response partially addresses the NIST AI RMF but omits specific references to the Current and Target Profiles, lacks detailed identification of critical compliance obligations under the Korean AI Basic Act and EU AI Act, and does not adequately cover the financial AI governance context."
Q082,baseline,NIST_AI_RMF,intermediate,lending,high,G2,0.8,"The AI response mostly complies with NIST AI RMF requirements by identifying key provisions for human oversight and appeal processes, but it lacks specific details on critical obligations such as the independence of the appeal reviewer and the need for aggregate appeal reporting."
Q083,baseline,NIST_AI_RMF,intermediate,investment,medium,G1,0.6,"The response addresses some key compliance obligations under the NIST AI RMF but omits specific measures such as regime change detection and customer outcome monitoring, leading to notable omissions."
Q084,baseline,NIST_AI_RMF,intermediate,lending,medium,G4,0.8,"The response identifies key NIST AI RMF principles and relevant regulatory requirements but omits specific compliance obligations related to financial inclusion, such as inclusion impact assessments and representation in training data."
Q085,baseline,NIST_AI_RMF,intermediate,common,medium,G3,0.6,"The response addresses some key compliance obligations under the NIST AI RMF but omits critical elements such as the specific requirements for incident reporting and regulatory updates, which are essential for a comprehensive quarterly AI risk report."
Q086,baseline,NIST_AI_RMF,advanced,lending,high,G2,0.8,"The response mostly complies with NIST AI RMF by addressing key long-term impacts and risk assessments, but it lacks specific references to the detailed obligations outlined in the ground truth, such as the need to assess irreversibility of negative outcomes and the correlation with historical redlining."
Q087,baseline,NIST_AI_RMF,advanced,common,high,G2,0.6,"The response addresses some mechanisms for detecting novel AI risks but omits critical elements from the NIST AI RMF, such as horizon scanning and qualitative risk sensing, leading to notable omissions."
Q088,baseline,NIST_AI_RMF,advanced,common,high,G4,0.8,"The response identifies key regulatory frameworks and obligations but lacks specific mention of regulatory mapping, jurisdiction determination, and the highest common standard, which are critical for multi-jurisdictional compliance."
Q089,baseline,NIST_AI_RMF,intermediate,common,medium,G2,0.8,"The response identifies key risks related to profiling and aligns with NIST AI RMF principles, but it omits specific obligations under the NIST AI RMF MAP 1.1 and MAP 5.1, as well as critical aspects of the Korean AI Basic Act and EU AI Act."
Q090,baseline,NIST_AI_RMF,advanced,common,high,G2,0.6,"The response addresses some key compliance obligations under the NIST AI RMF but omits critical steps such as proactive disclosure and industry coordination, which are essential for managing systemic bias in financial AI governance."
Q091,baseline,NIST_AI_RMF,intermediate,common,medium,G1,0.8,The response mostly complies with NIST AI RMF requirements by addressing key measurement strategies for customer outcomes but lacks specific references to all relevant measures outlined in the ground truth.
Q092,baseline,NIST_AI_RMF,intermediate,common,medium,G4,0.8,"The response mostly complies with NIST AI RMF by identifying the importance of ethical considerations and suggesting an ethics review process, but it lacks specific references to the detailed obligations and criteria outlined in the ground truth."
Q093,baseline,NIST_AI_RMF,advanced,common,high,G3,0.6,The response addresses some key aspects of the NIST AI RMF but omits critical compliance obligations specific to third-party data governance and does not fully cover the necessary risk management practices for open banking.
Q094,baseline,NIST_AI_RMF,intermediate,common,high,G2,0.8,"The response mostly complies with NIST AI RMF requirements by identifying key protections and obligations, but it omits specific details on vulnerability identification and disproportionate impact assessment."
Q095,baseline,NIST_AI_RMF,advanced,common,medium,G4,0.8,"The response identifies key monitoring requirements from the NIST AI RMF and suggests relevant implementation steps, but it lacks specific details on risk-tiered monitoring intensity and exception reporting as outlined in the ground truth."
Q096,baseline,NIST_AI_RMF,intermediate,common,medium,G4,0.8,"The response identifies key regulatory requirements and provides a structured approach to compliance management, but it lacks specific details on the phased compliance timeline and does not fully address the ongoing monitoring and review processes as outlined in NIST AI RMF."
Q097,baseline,NIST_AI_RMF,advanced,common,high,G1,0.6,"The response addresses some key regulatory requirements but omits critical aspects of the NIST AI RMF and the Korean AI Basic Act, particularly regarding model uncertainty, auditability, and the specific legal accountability of the Chief Risk Officer."
Q098,baseline,NIST_AI_RMF,intermediate,common,medium,G4,0.6,The response addresses some key steps for responsible AI system retirement but omits specific NIST AI RMF obligations and critical details regarding end-of-life criteria and post-retirement monitoring.
Q099,baseline,NIST_AI_RMF,basic,common,low,G4,0.8,"The response mostly complies with NIST AI RMF principles and identifies key governance steps, but it lacks specific references to the Korean AI Basic Act and does not fully address the unique challenges faced by small financial institutions."
Q100,baseline,NIST_AI_RMF,advanced,common,medium,G4,0.8,"The AI response mostly complies with the NIST AI RMF framework and relevant regulatory requirements, but it omits specific references to the iterative nature of the functions and does not fully address the comprehensive regulatory landscape applicable to financial AI governance."
Q101,baseline,KR_AI_BASIC_ACT,basic,lending,high,G4,0.8,"The response mostly complies with the regulatory framework by identifying key criteria and obligations under the Korean AI Basic Act, but it omits specific references to Article 33 and the requirement for optional confirmation from the Minister of Science and ICT."
Q102,baseline,KR_AI_BASIC_ACT,intermediate,common,medium,G4,0.8,"The response mostly complies with the regulatory framework by outlining steps for the confirmation process and addressing key obligations, but it misstates the specific articles and omits the importance of consulting ministerial guidelines."
Q103,baseline,KR_AI_BASIC_ACT,intermediate,common,high,G4,0.8,"The AI response mostly complies with the regulatory requirements by identifying key components of the risk management plan, but it omits the requirement for residual risk documentation and does not explicitly mention the delegation of specific implementation details to Presidential Decree."
Q104,baseline,KR_AI_BASIC_ACT,intermediate,lending,high,G2,0.8,"The response mostly complies with Article 34(1)(4) by outlining key implementation steps for human oversight, but it lacks specific details on mandatory review triggers and oversight independence, which are critical for full compliance."
Q105,baseline,KR_AI_BASIC_ACT,basic,common,medium,G3,0.8,The AI response mostly complies with the regulatory requirements by identifying key aspects of Article 31(1) but omits specific details about penalties and the exact notification formats as outlined in the ground truth.
Q106,baseline,KR_AI_BASIC_ACT,basic,common,medium,G3,0.6,The response partially addresses the disclosure obligations under Article 31(2) and (3) but omits critical details regarding the specific requirements for marking AI-generated content and the artistic/creative exception.
Q107,baseline,KR_AI_BASIC_ACT,intermediate,lending,high,G3,0.8,"The response correctly identifies the requirement for explainability under Article 34(1)(2) of the AI Basic Act and interprets the obligations, but it lacks specific mention of the need for an overview of the training data and the verification by the AI Review Committee."
Q108,baseline,KR_AI_BASIC_ACT,intermediate,lending,high,G2,0.8,"The AI response mostly complies with the regulatory requirements by identifying key components of a user protection plan, but it omits specific obligations such as the need for meaningful explanations of adverse decisions and enhanced protections for vulnerable customers."
Q109,baseline,KR_AI_BASIC_ACT,advanced,common,high,G2,0.8,"The response mostly complies with the regulatory requirements by identifying key obligations under Article 32 of the AI Basic Act and their applicability to financial institutions, but it omits the specific requirement for compliance results submission to the Minister of Science and ICT."
Q110,baseline,KR_AI_BASIC_ACT,basic,common,medium,G3,0.6,The response partially addresses the documentation requirements but omits specific details from Article 34(1)(1)-(4) and does not fully capture the necessary elements for compliance.
Q111,baseline,KR_AI_BASIC_ACT,intermediate,common,high,G4,0.8,"The response mostly complies with the AI Basic Act by identifying the roles of the bank and fintech vendor, but it misclassifies the bank as an 'end-user' instead of an 'AI 이용사업자' and omits specific obligations under Article 34."
Q112,baseline,KR_AI_BASIC_ACT,intermediate,common,medium,G4,0.8,The response correctly identifies the requirement for a domestic representative under Article 36 but lacks detail on the size criteria and specific obligations of the representative.
Q113,baseline,KR_AI_BASIC_ACT,advanced,lending,high,G4,1.0,"The AI response correctly identifies and interprets the relevant regulatory requirements under the Korean AI Basic Act, accurately classifying the pre-screening AI as 고영향 AI and addressing key compliance obligations."
Q114,baseline,KR_AI_BASIC_ACT,advanced,lending,medium,G4,0.6,The response partially addresses the compliance obligations under Article 34(3) but omits critical details regarding the need for substantive equivalence and the specific requirements that must be demonstrated for compliance.
Q115,baseline,KR_AI_BASIC_ACT,intermediate,insurance,high,G4,1.0,"The AI response accurately identifies and interprets the relevant regulatory requirements under the Korean AI Basic Act, covering key compliance obligations and potential risks associated with the use of AI in determining life insurance premiums."
Q116,baseline,KR_AI_BASIC_ACT,intermediate,insurance,high,G2,0.8,"The response mostly complies with the regulatory requirements by identifying the obligation to conduct an impact assessment and addressing key considerations for financial institutions, but it omits the specific 'best efforts' nature of the obligation and the emphasis on AI-vulnerable populations."
Q117,baseline,KR_AI_BASIC_ACT,intermediate,fraud_detection,medium,G3,0.8,"The response mostly complies with the regulatory framework by identifying key obligations under Articles 31 and 34, but it lacks a detailed analysis of the classification of fraud detection AI as 고영향 AI and the implications of that classification."
Q118,baseline,KR_AI_BASIC_ACT,basic,investment,low,G4,0.8,"The response mostly complies with the regulatory framework by identifying the role of the National AI Strategy Committee and its implications for financial AI governance, but it lacks specific references to the obligations under Articles 8 and 34 of the AI Basic Act."
Q119,baseline,KR_AI_BASIC_ACT,intermediate,lending,high,G4,1.0,"The AI response accurately identifies and interprets the relevant provisions of Article 30 of the AI Basic Act, covering key compliance obligations and incentives for financial institutions without any misstatements or omissions."
Q120,baseline,KR_AI_BASIC_ACT,basic,common,low,G4,0.8,"The response mostly complies with the regulatory framework by identifying key functions of the AI Safety Institute and providing actionable recommendations, but it lacks specific references to all obligations under Article 12 and does not fully address the implications of Article 32."
Q121,baseline,KR_AI_BASIC_ACT,basic,lending,high,G3,1.0,"The AI response accurately identifies and interprets the key regulatory requirements of Article 3(2) of the AI Basic Act, covering all relevant compliance obligations for financial AI governance without any misstatements or omissions."
Q122,baseline,KR_AI_BASIC_ACT,intermediate,common,low,G4,1.0,"The AI response accurately identifies and interprets the relevant regulatory requirements of Article 28 of the AI Basic Act, covers key compliance obligations, and correctly explains the relationship and benefits of the Private Voluntary AI Ethics Committee in relation to the AI Review Committee."
Q123,baseline,KR_AI_BASIC_ACT,intermediate,common,high,G4,0.6,"The response addresses some enforcement powers and penalties but omits specific articles and critical details from the AI Basic Act, leading to notable omissions."
Q124,baseline,KR_AI_BASIC_ACT,advanced,lending,high,G4,0.8,"The response mostly complies with the regulatory requirements by identifying key components and obligations under Articles 32 and 34, but it lacks specific details on lifecycle coverage and incident response procedures."
Q125,baseline,KR_AI_BASIC_ACT,advanced,common,high,G2,0.6,"The response partially addresses relevant obligations under the AI Basic Act but omits critical details regarding specific articles related to incident response, user protection, and documentation requirements."
Q126,baseline,KR_AI_BASIC_ACT,basic,common,low,G3,0.6,"The response addresses some key compliance obligations but notably omits specific details from Article 27 regarding safety, accessibility, and human flourishing, and misinterprets the focus on fairness, accountability, and transparency as primary principles."
Q127,baseline,KR_AI_BASIC_ACT,basic,common,low,G4,0.8,"The response mostly complies with the regulatory requirements by addressing key aspects of the AI Basic Act, but it omits specific details about the obligations related to fairness, transparency, and accessibility for AI-vulnerable populations."
Q128,baseline,KR_AI_BASIC_ACT,intermediate,common,medium,G2,0.8,The response identifies key compliance obligations related to the amendment but omits specific references to the required participation of AI-vulnerable populations in policy development and the explicit requirements for impact assessments.
Q129,baseline,KR_AI_BASIC_ACT,intermediate,compliance,high,G4,0.6,"The AI response partially addresses the regulatory requirements but misinterprets the specific application of Article 2(4)(바) by incorrectly classifying the KYC biometric AI as 고영향 AI, while omitting the relevant considerations under Article 2(4)(사) and the potential implications of the Presidential Decree."
Q130,baseline,KR_AI_BASIC_ACT,basic,common,low,G4,0.8,"The response mostly complies with the regulatory requirements by addressing key aspects of Article 14, but it lacks specific references to the government's role in recommending standards compliance and does not explicitly mention the importance of aligning with international standards."
