id,condition,regulation,difficulty,financial_domain,governance_axis,answer_relevancy,ar_pass,faithfulness,faith_pass,hallucination,hall_pass
Q105,rag,KR_AI_BASIC_ACT,basic,common,G3,1.0,True,0.9167,True,-1.0,False
Q127,rag,KR_AI_BASIC_ACT,basic,common,G4,0.9167,True,0.75,True,-1.0,False
Q120,rag,KR_AI_BASIC_ACT,basic,common,G4,0.8571,True,0.75,True,-1.0,False
Q135,rag,KR_AI_BASIC_ACT,basic,common,G4,1.0,True,0.9,True,-1.0,False
Q110,rag,KR_AI_BASIC_ACT,basic,common,G3,1.0,True,0.8333,True,-1.0,False
Q184,rag,KR_AI_BASIC_ACT,basic,lending,G4,0.9231,True,0.8571,True,-1.0,False
Q177,rag,KR_AI_BASIC_ACT,basic,common,G3,1.0,True,0.6923,True,-1.0,False
Q182,rag,KR_AI_BASIC_ACT,intermediate,common,G4,0.9091,True,0.9,True,-1.0,False
Q176,rag,KR_AI_BASIC_ACT,intermediate,lending,G2,1.0,True,1.0,True,-1.0,False
Q188,rag,KR_AI_BASIC_ACT,intermediate,common,G4,1.0,True,0.9,True,-1.0,False
Q123,rag,KR_AI_BASIC_ACT,intermediate,common,G4,1.0,True,0.9,True,-1.0,False
Q151,rag,KR_AI_BASIC_ACT,intermediate,lending,G1,1.0,True,1.0,True,-1.0,False
Q162,rag,KR_AI_BASIC_ACT,intermediate,common,G3,1.0,True,0.9091,True,-1.0,False
Q136,rag,KR_AI_BASIC_ACT,intermediate,common,G3,1.0,True,1.0,True,-1.0,False
Q164,rag,KR_AI_BASIC_ACT,intermediate,common,G4,1.0,True,0.3,False,-1.0,False
Q107,rag,KR_AI_BASIC_ACT,intermediate,lending,G3,0.8333,True,0.9091,True,-1.0,False
Q161,rag,KR_AI_BASIC_ACT,intermediate,lending,G3,0.875,True,1.0,True,-1.0,False
Q081,rag,NIST_AI_RMF,advanced,common,G4,1.0,True,1.0,True,-1.0,False
Q046,rag,NIST_AI_RMF,advanced,common,G1,1.0,True,1.0,True,-1.0,False
Q076,rag,NIST_AI_RMF,advanced,lending,G2,1.0,True,1.0,True,-1.0,False
Q066,rag,NIST_AI_RMF,advanced,common,G1,0.9,True,1.0,True,-1.0,False
Q050,rag,NIST_AI_RMF,advanced,common,G4,1.0,True,1.0,True,-1.0,False
Q088,rag,NIST_AI_RMF,advanced,common,G4,1.0,True,1.0,True,-1.0,False
Q063,rag,NIST_AI_RMF,advanced,insurance,G4,0.8571,True,1.0,True,-1.0,False
Q043,rag,NIST_AI_RMF,advanced,common,G2,1.0,True,1.0,True,-1.0,False
Q032,rag,NIST_AI_RMF,advanced,common,G2,0.9524,True,1.0,True,-1.0,False
Q056,rag,NIST_AI_RMF,advanced,lending,G1,1.0,True,1.0,True,-1.0,False
Q001,rag,NIST_AI_RMF,basic,common,G4,1.0,True,1.0,True,-1.0,False
Q002,rag,NIST_AI_RMF,basic,common,G4,1.0,True,0.9375,True,-1.0,False
Q036,rag,NIST_AI_RMF,basic,common,G4,0.875,True,1.0,True,-1.0,False
Q015,rag,NIST_AI_RMF,basic,lending,G1,1.0,True,0.8667,True,-1.0,False
Q009,rag,NIST_AI_RMF,basic,common,G4,1.0,True,1.0,True,-1.0,False
Q053,rag,NIST_AI_RMF,basic,common,G1,1.0,True,1.0,True,-1.0,False
Q068,rag,NIST_AI_RMF,basic,fraud_detection,G3,1.0,True,1.0,True,-1.0,False
Q061,rag,NIST_AI_RMF,basic,common,G1,0.7778,True,1.0,True,-1.0,False
Q051,rag,NIST_AI_RMF,basic,common,G3,1.0,True,1.0,True,-1.0,False
Q005,rag,NIST_AI_RMF,basic,common,G4,1.0,True,1.0,True,-1.0,False
Q064,rag,NIST_AI_RMF,intermediate,common,G4,1.0,True,1.0,True,-1.0,False
Q084,rag,NIST_AI_RMF,intermediate,lending,G4,1.0,True,1.0,True,-1.0,False
Q059,rag,NIST_AI_RMF,intermediate,common,G2,0.8824,True,1.0,True,-1.0,False
Q092,rag,NIST_AI_RMF,intermediate,common,G4,1.0,True,1.0,True,-1.0,False
Q055,rag,NIST_AI_RMF,intermediate,lending,G1,1.0,True,1.0,True,-1.0,False
Q079,rag,NIST_AI_RMF,intermediate,common,G4,1.0,True,1.0,True,-1.0,False
Q026,rag,NIST_AI_RMF,intermediate,common,G3,1.0,True,1.0,True,-1.0,False
Q041,rag,NIST_AI_RMF,intermediate,investment,G1,0.9091,True,1.0,True,-1.0,False
Q011,rag,NIST_AI_RMF,intermediate,common,G4,1.0,True,1.0,True,-1.0,False
Q058,rag,NIST_AI_RMF,intermediate,common,G3,1.0,True,1.0,True,-1.0,False
