id,condition,regulation,difficulty,financial_domain,risk_level,governance_axis,regulatory_accuracy,practical_utility,completeness,clarity,risk_awareness,overall_score,strengths,weaknesses,total_tokens
Q016,baseline,NIST_AI_RMF,intermediate,insurance,high,G1,4.0,4.5,4.0,4.5,5.0,4.4,The response effectively identifies regulatory requirements and emphasizes the importance of human oversight in high-risk scenarios.,"While it covers many aspects, it could more explicitly align with NIST AI RMF's specific tasks and methods for documentation.",1318
Q017,baseline,NIST_AI_RMF,intermediate,insurance,high,G2,4.0,4.0,3.5,4.5,4.0,4.0,The response effectively outlines the importance of human oversight and provides relevant recommendations for implementation.,It lacks specific details on the scope of human oversight and the documentation requirements as outlined in the ground truth.,1195
Q018,baseline,NIST_AI_RMF,intermediate,fraud_detection,medium,G2,4.0,4.0,3.5,4.5,4.0,4.0,The response effectively outlines key principles of the NIST AI RMF and emphasizes the importance of risk assessment and stakeholder engagement.,"It lacks specific details on the magnitude assessment and the need for a customer appeal process, which are critical for a comprehensive evaluation.",1214
Q019,baseline,NIST_AI_RMF,advanced,fraud_detection,high,G4,4.0,4.5,3.5,4.0,4.5,4.0,The response effectively identifies key legal and technical risks while providing actionable recommendations for oversight.,It lacks specific references to NIST AI RMF mapping requirements and does not fully address internal controls as outlined in the ground truth.,1247
Q020,baseline,NIST_AI_RMF,basic,investment,high,G1,4.0,4.5,4.0,4.5,4.0,4.2,The response effectively outlines the documentation requirements and aligns well with the NIST AI RMF guidelines.,"It lacks specific legal context and deployment settings, which are critical for full compliance.",1173
Q021,baseline,NIST_AI_RMF,intermediate,lending,high,G1,4.0,4.0,3.5,4.5,4.0,4.0,The response effectively outlines a structured approach to selecting performance metrics and emphasizes the importance of human oversight.,It lacks specific references to all required metrics as per NIST AI RMF and does not fully address the documentation of unmeasurable metrics.,1206
Q022,baseline,NIST_AI_RMF,advanced,lending,high,G2,4.0,4.5,4.0,4.5,5.0,4.4,The response effectively identifies key steps for addressing fairness concerns and emphasizes the importance of human oversight.,"While it references relevant regulations, it could better align with specific NIST AI RMF measures and provide more detailed analysis of statistical significance.",1250
Q023,baseline,NIST_AI_RMF,intermediate,common,high,G1,3.5,4.0,3.0,4.5,4.0,3.8,The response provides a structured approach to testing and emphasizes the importance of human oversight.,"It lacks specific details on the required testing measures outlined in the NIST AI RMF, particularly in terms of performance thresholds and documentation.",1173
Q024,baseline,NIST_AI_RMF,advanced,common,high,G2,4.0,4.0,3.5,4.5,4.0,4.0,The response effectively outlines key provisions for evaluating AI security and resilience against adversarial attacks.,"It lacks specific details on the types of adversarial attacks mentioned in the ground truth, which could enhance completeness.",1148
Q025,baseline,NIST_AI_RMF,intermediate,lending,high,G3,4.0,4.5,4.0,4.5,4.0,4.2,The response provides actionable steps that align well with NIST AI RMF principles and regulatory expectations.,"While it references relevant regulations, it could more explicitly connect to specific NIST AI RMF measures and the AI Basic Act.",1247
Q026,baseline,NIST_AI_RMF,intermediate,common,high,G3,4.0,4.0,4.0,4.0,5.0,4.2,The response effectively outlines key provisions for privacy risk evaluation in line with NIST AI RMF.,"It lacks specific references to all measures outlined in the ground truth, particularly regarding inference risks and privacy-enhancing techniques.",1207
Q027,baseline,NIST_AI_RMF,intermediate,lending,high,G1,4.5,4.0,4.5,4.0,4.5,4.3,"The response effectively outlines detection and response strategies for model drift, aligning well with NIST AI RMF requirements.","While the response is comprehensive, it could benefit from more explicit references to specific NIST measures and a clearer structure in the recommendations section.",1224
Q028,baseline,NIST_AI_RMF,basic,common,medium,G2,3.5,4.0,3.0,4.5,4.0,3.8,"The response provides a structured approach to establishing a feedback process, enhancing transparency and accountability.",It lacks specific references to NIST AI RMF Measures and does not fully cover all key governance requirements outlined in the ground truth.,1239
Q029,baseline,NIST_AI_RMF,advanced,common,high,G4,4.0,4.5,3.5,4.0,4.5,4.0,The response effectively outlines the importance of independent assessments and provides practical implementation recommendations.,It lacks specific details on the types of independent assessments required and does not fully align with the comprehensive measures outlined in the ground truth.,1179
Q030,baseline,NIST_AI_RMF,advanced,lending,high,G4,3.0,4.0,3.0,4.0,4.0,3.6,The response provides a structured approach to assessing risks and compliance for the AI Review Committee.,It lacks specific references to the NIST AI RMF MANAGE phases and does not fully address all gates outlined in the ground truth.,1243
Q031,baseline,NIST_AI_RMF,intermediate,lending,high,G4,3.0,4.0,3.0,4.0,4.0,3.6,"The response provides practical steps and identifies the need for human oversight, which is crucial for compliance.",The response lacks specific references to all risk response options outlined in the NIST AI RMF and does not fully align with the ground truth.,1169
Q032,baseline,NIST_AI_RMF,advanced,common,high,G2,3.0,4.0,3.0,4.0,4.0,3.6,The response provides a structured incident response process that is practical for the AI Review Committee.,It lacks specific references to NIST AI RMF requirements and does not fully address the regulatory notification process.,1221
Q033,baseline,NIST_AI_RMF,intermediate,common,medium,G4,4.0,4.5,3.5,4.0,4.5,4.0,The response provides actionable steps and emphasizes the importance of compliance with relevant regulations.,It lacks specific measurable improvement targets and a structured improvement roadmap as outlined in the ground truth.,1243
Q034,baseline,NIST_AI_RMF,advanced,common,high,G4,4.0,4.5,4.0,4.5,4.5,4.3,"The response provides a structured approach to handling residual risks, aligning well with NIST AI RMF guidelines.","While it covers many aspects, it lacks specific enumeration and quantification of residual risks as emphasized in the ground truth.",1303
Q035,baseline,NIST_AI_RMF,intermediate,common,medium,G4,3.5,4.0,3.0,4.5,4.0,3.8,The response provides a structured overview of NIST AI RMF guidelines and emphasizes the importance of continuous monitoring and stakeholder engagement.,It lacks specific details on mechanisms for sustaining AI value and deactivation triggers as outlined in the ground truth.,1256
Q036,baseline,NIST_AI_RMF,basic,common,low,G4,4.0,5.0,4.0,5.0,4.0,4.4,The response provides actionable steps and emphasizes the importance of diverse perspectives in AI risk management.,"While it captures many key elements, it could more explicitly reference the specific diversity dimensions outlined in the NIST AI RMF.",1265
Q037,baseline,NIST_AI_RMF,intermediate,common,low,G3,3.5,4.0,3.0,4.5,4.0,3.8,The response provides a clear structure and practical engagement mechanisms for incorporating external feedback.,It lacks specific references to the NIST AI RMF sections and does not fully cover all key governance requirements outlined in the ground truth.,1097
Q038,baseline,NIST_AI_RMF,intermediate,compliance,high,G1,4.0,4.5,4.0,4.5,5.0,4.4,The response effectively outlines the necessary contextual and impact documentation required by the NIST AI RMF.,It lacks specific references to legal contexts and potential negative impacts as detailed in the ground truth.,1252
Q039,baseline,NIST_AI_RMF,basic,common,low,G4,3.5,4.0,3.0,4.0,4.5,3.8,The response effectively emphasizes the importance of environmental impact assessments and provides actionable steps for compliance.,It lacks specific details from the NIST AI RMF regarding environmental impact measures and does not fully align with the ground truth provided.,1124
Q040,baseline,NIST_AI_RMF,advanced,common,medium,G4,4.0,4.0,3.5,4.5,4.0,4.0,The response effectively outlines the core functions of the NIST AI RMF and emphasizes the importance of regulatory compliance.,It lacks specific details on the steps for creating a Financial AI RMF Profile and does not fully address the benchmarking against peer institutions.,1221
Q041,baseline,NIST_AI_RMF,intermediate,investment,medium,G1,4.0,4.5,3.5,4.0,4.5,4.0,The response effectively outlines the importance of defining application scope and operator proficiency requirements in line with NIST AI RMF.,"It lacks specific examples and detailed requirements for the robo-advisory AI, which are crucial for full compliance readiness.",1171
Q042,baseline,NIST_AI_RMF,advanced,insurance,high,G1,4.0,4.0,3.5,4.5,4.0,4.0,The response effectively outlines key components of the NIST AI RMF and emphasizes the importance of validation and monitoring.,It lacks specific examples of generalizability testing and does not fully address the detailed requirements outlined in the ground truth.,1238
Q043,baseline,NIST_AI_RMF,advanced,common,high,G2,4.0,4.5,3.5,4.0,4.5,4.0,The response effectively identifies relevant regulations and emphasizes the need for immediate action and human oversight.,"It lacks specific alignment with the NIST AI RMF's detailed steps for managing emergent risks, particularly in the areas of containment and remediation.",1306
Q044,baseline,NIST_AI_RMF,basic,common,low,G4,3.0,4.0,3.0,4.0,4.0,3.6,The response provides practical recommendations for enhancing board-level AI literacy and governance capability.,It lacks specific references to all key requirements from the NIST AI RMF and does not fully align with the ground truth provided.,1235
Q045,baseline,NIST_AI_RMF,intermediate,common,medium,G1,3.0,4.0,3.0,4.0,4.0,3.6,The response provides a structured approach to documenting risk context and emphasizes the importance of human oversight.,The response lacks specific references to the NIST AI RMF requirements and does not fully address the legal context or knowledge limits as outlined in the ground truth.,1239
Q046,baseline,NIST_AI_RMF,advanced,common,high,G1,4.0,4.0,3.5,4.5,4.0,4.0,The response effectively outlines a structured approach to evaluating the chatbot's performance in line with NIST AI RMF guidelines.,"It lacks specific metrics and thresholds as detailed in the ground truth, which are crucial for comprehensive evaluation.",1208
Q047,baseline,NIST_AI_RMF,intermediate,common,medium,G4,4.0,4.5,3.5,4.0,4.5,4.0,The response provides a structured workflow that aligns well with the NIST AI RMF's principles and emphasizes stakeholder engagement and human oversight.,"It lacks specific references to the detailed steps outlined in the NIST AI RMF MANAGE function, particularly in risk prioritization and post-approval monitoring.",1381
Q048,baseline,NIST_AI_RMF,advanced,common,low,G4,3.0,4.0,3.0,4.0,4.0,3.6,The response provides a structured approach to evaluating governance effectiveness and emphasizes stakeholder engagement and risk management.,"It lacks specific metrics and detailed recommendations from the NIST AI RMF, which are crucial for a comprehensive evaluation.",1213
Q049,baseline,NIST_AI_RMF,intermediate,common,high,G4,4.0,4.5,4.0,4.5,4.0,4.2,The response effectively outlines a structured approach to risk prioritization based on NIST AI RMF guidelines.,It lacks specific references to the urgency of addressing unacceptable risks and does not fully align with the detailed prioritization factors from the ground truth.,1216
Q050,baseline,NIST_AI_RMF,advanced,common,medium,G4,4.0,4.5,3.5,4.0,4.5,4.0,The response effectively outlines practical steps for integrating AI risk management into the ERM framework and emphasizes the importance of human oversight.,The response lacks specific alignment with the NIST AI RMF's detailed recommendations and does not fully cover all key governance requirements as outlined in the ground truth.,1309
Q051,baseline,NIST_AI_RMF,basic,common,low,G3,3.5,4.0,3.0,4.0,4.5,3.8,The response provides actionable steps and emphasizes the importance of human oversight in high-risk scenarios.,"It lacks specific references to all required elements from the NIST AI RMF, particularly the detailed governance structure and approval processes.",1256
Q052,baseline,NIST_AI_RMF,basic,common,low,G4,4.0,4.5,3.5,4.0,4.5,4.0,The response provides a structured plan for ongoing monitoring and emphasizes the importance of human oversight in high-risk scenarios.,It lacks specific frequency recommendations for periodic reviews based on risk tiers and does not fully align with the detailed requirements outlined in the ground truth.,1371
Q053,baseline,NIST_AI_RMF,basic,common,medium,G1,3.0,4.0,3.0,4.0,4.0,3.6,The response effectively identifies potential risks and emphasizes the need for human oversight.,"The categorization as a 'High Impact AI System' is not aligned with the NIST AI RMF MAP 2.1 guidance, which suggests a medium-risk classification for this type of model.",1212
Q054,baseline,NIST_AI_RMF,intermediate,common,medium,G1,4.0,4.5,4.0,4.5,4.0,4.2,The response effectively outlines key scientific integrity and TEVV considerations relevant to the NIST AI RMF.,"While comprehensive, it lacks specific references to all aspects of TEVV as detailed in the ground truth, particularly in documentation completeness.",1287
Q055,baseline,NIST_AI_RMF,intermediate,lending,high,G1,4.0,4.5,4.0,4.5,5.0,4.4,The response effectively integrates regulatory requirements and emphasizes the importance of accuracy and robustness in credit scoring AI.,"While it covers many aspects, it could benefit from more explicit references to NIST AI RMF measures and a deeper exploration of the accuracy-robustness tension.",1369
Q056,baseline,NIST_AI_RMF,advanced,lending,high,G1,4.0,4.0,4.0,4.0,5.0,4.2,The response effectively identifies key challenges and emphasizes the importance of human oversight and ethical considerations.,"While it covers many aspects, it could benefit from a more detailed comparison of specific performance metrics as outlined in the ground truth.",1256
Q057,baseline,NIST_AI_RMF,basic,common,low,G3,4.0,4.0,3.5,4.5,4.0,4.0,"The response provides a structured approach to facilitating information sharing about AI risks, aligning well with NIST AI RMF principles.","It lacks some specific recommendations from the ground truth, such as establishing a central AI incident registry and a near-miss reporting culture.",1277
Q058,baseline,NIST_AI_RMF,intermediate,common,low,G3,4.0,4.5,3.5,4.0,4.5,4.0,The response effectively emphasizes the importance of collaboration and human oversight in AI risk management.,It lacks specific references to the NIST AI RMF sections and does not fully cover all recommended practices from the ground truth.,1213
Q059,baseline,NIST_AI_RMF,intermediate,common,high,G2,3.0,4.0,3.0,4.0,4.0,3.6,The response effectively highlights key risk contexts and regulatory references relevant to AI in employee evaluations.,It lacks specific references to the NIST AI RMF requirements and does not fully address the legal context or potential impacts as outlined in the ground truth.,1318
Q060,baseline,NIST_AI_RMF,advanced,common,high,G2,4.0,4.5,4.0,4.5,5.0,4.4,The response effectively outlines the evaluation steps and emphasizes the importance of human oversight.,"The response does not fully align with the specific categories of bias defined by NIST AI RMF, particularly missing the intersectional and feedback loop bias considerations.",1360
Q061,baseline,NIST_AI_RMF,basic,common,low,G1,4.0,4.5,4.0,4.5,4.0,4.2,The response effectively outlines the importance of documenting benefits and aligns with regulatory frameworks.,It could improve by explicitly linking the benefits to the specific requirements of the NIST AI RMF and providing more detailed examples of societal benefits.,1287
Q062,baseline,NIST_AI_RMF,advanced,common,medium,G4,4.0,4.0,3.0,4.0,4.0,3.8,The response provides a structured approach to evaluating TEVV metrics and emphasizes the importance of stakeholder engagement.,"It lacks specific details on the six key provisions outlined in the ground truth, which are critical for a comprehensive evaluation.",1262
Q063,baseline,NIST_AI_RMF,advanced,insurance,high,G4,4.0,4.5,4.0,4.5,5.0,4.4,The response effectively identifies regulatory concerns and emphasizes the need for human oversight.,"While it references relevant regulations, it could provide more specific guidance on the NIST AI RMF's risk management steps.",1246
Q064,baseline,NIST_AI_RMF,intermediate,common,medium,G4,4.0,4.5,4.0,4.5,5.0,4.4,The response effectively outlines actionable recommendations and identifies key risks associated with AI governance.,"While it references relevant regulations, it could better integrate specific socio-technical considerations from the NIST AI RMF.",1323
Q065,baseline,NIST_AI_RMF,advanced,common,high,G2,4.0,4.5,4.0,4.5,5.0,4.4,The response effectively identifies key risks and emphasizes the importance of human oversight.,"While it covers many aspects, it could benefit from more explicit references to specific NIST AI RMF sections.",1323
Q066,baseline,NIST_AI_RMF,advanced,common,high,G1,4.0,4.5,4.0,4.5,4.5,4.3,The response effectively outlines actionable steps and emphasizes the importance of transparency and human oversight.,"While it covers many key points, it could improve by explicitly mentioning the need for confidence intervals and minimum performance floors as per NIST AI RMF.",1284
Q067,baseline,NIST_AI_RMF,intermediate,fraud_detection,medium,G2,4.0,4.5,3.5,4.0,4.5,4.0,The response effectively outlines practical mitigation strategies and emphasizes the importance of human oversight.,It lacks some specific mitigation options and resource considerations mentioned in the ground truth.,1295
Q068,baseline,NIST_AI_RMF,basic,fraud_detection,low,G3,3.0,4.0,3.0,4.0,4.0,3.6,The response emphasizes the importance of transparency and human oversight in the communication process.,"It lacks specific details on the required communication processes outlined in the NIST AI RMF, leading to a less comprehensive response.",1127
Q069,baseline,NIST_AI_RMF,intermediate,common,high,G3,4.0,4.5,3.5,4.0,4.0,4.0,The response effectively outlines key privacy principles and aligns them with relevant regulations.,It lacks specific references to NIST AI RMF's unique privacy principles and does not fully address inference risk control and third-party data risk.,1328
Q070,baseline,NIST_AI_RMF,advanced,common,high,G2,4.0,4.5,4.0,4.5,5.0,4.4,The response effectively identifies key risks and provides actionable recommendations for human oversight.,"While it covers many risks, it lacks specific mention of prompt injection attacks and the need for a 100% review rate initially.",1272
Q071,baseline,NIST_AI_RMF,intermediate,common,high,G3,3.5,4.0,3.0,4.5,4.0,3.8,The response provides a structured approach to accountability and emphasizes the importance of documentation and oversight.,"It lacks specific details on the accountability measurements required by NIST AI RMF, particularly the decision audit trail and model version accountability.",1334
Q072,baseline,NIST_AI_RMF,intermediate,common,medium,G4,4.0,4.5,3.5,4.0,4.5,4.0,The response effectively outlines a structured approach to resource allocation based on risk levels and emphasizes continuous monitoring.,It lacks specific references to the detailed provisions of the NIST AI RMF and does not fully cover all key governance requirements mentioned in the ground truth.,1343
Q073,baseline,NIST_AI_RMF,intermediate,common,low,G4,3.0,4.0,3.0,4.0,4.0,3.6,The response provides practical recommendations for aligning incentives with responsible AI development.,The regulatory citations are not directly relevant to the NIST AI RMF and lack specific references to the framework's requirements.,1318
Q074,baseline,NIST_AI_RMF,advanced,investment,high,G2,4.0,4.5,3.5,4.0,4.5,4.0,The response effectively identifies key systemic risks and provides relevant regulatory references.,"It lacks some specific concerns outlined in the NIST AI RMF, such as the need for a kill switch and real-world testing requirements.",1372
Q075,baseline,NIST_AI_RMF,intermediate,common,medium,G3,4.0,4.5,3.5,4.0,4.5,4.0,The response effectively outlines key documentation standards and emphasizes the importance of regulatory compliance.,"It lacks specific details on certain documentation types recommended by NIST AI RMF, such as model cards and risk registers.",1421
Q076,baseline,NIST_AI_RMF,advanced,lending,high,G2,4.0,4.0,3.0,4.0,4.0,3.8,The response effectively highlights key aspects of the NIST AI RMF related to automation bias and human oversight.,"The response lacks specific actionable steps and detailed recommendations found in the ground truth, which could enhance its completeness.",1259
Q077,baseline,NIST_AI_RMF,intermediate,common,medium,G4,3.5,4.0,3.0,4.5,4.0,3.8,The response provides a structured approach to change management and emphasizes stakeholder engagement and human oversight.,"It lacks specific details on change classification and validation requirements as outlined in the NIST AI RMF, which are critical for compliance.",1308
Q078,baseline,NIST_AI_RMF,intermediate,compliance,high,G2,3.0,4.0,3.0,4.0,4.0,3.6,The response provides a structured approach to governance considerations and emphasizes the importance of human oversight.,It lacks specific references to critical aspects of the NIST AI RMF and does not fully address the high-risk classification or version control requirements.,1288
Q079,baseline,NIST_AI_RMF,intermediate,common,high,G4,3.0,4.0,3.0,4.0,4.0,3.6,The response provides a structured approach to vendor assessment and highlights the importance of compliance and ongoing monitoring.,It lacks specific references to the detailed procurement tasks outlined in the NIST AI RMF and does not fully cover all key governance requirements.,1275
Q080,baseline,NIST_AI_RMF,advanced,lending,high,G3,4.0,4.5,4.0,4.5,4.5,4.3,The response effectively outlines practical steps for improving model interpretability while aligning with NIST AI RMF principles.,"It lacks specific references to the detailed measures outlined in the NIST AI RMF, which could enhance regulatory accuracy.",1291
Q081,baseline,NIST_AI_RMF,advanced,common,low,G4,3.0,4.0,3.0,4.0,4.0,3.6,The response provides a structured approach to assessing AI governance maturity and planning improvements.,It lacks specific references to the NIST AI RMF profiles and does not fully address the regulatory alignment with the Korean AI Basic Act and EU AI Act.,1335
Q082,baseline,NIST_AI_RMF,intermediate,lending,high,G2,4.0,4.0,3.0,4.0,4.0,3.8,The response effectively emphasizes the importance of human oversight and transparency in the appeal process.,"It lacks specific details on the appeal process requirements as outlined in the ground truth, such as timelines and escalation paths.",1300
Q083,baseline,NIST_AI_RMF,intermediate,investment,medium,G1,3.0,4.0,3.0,4.0,4.0,3.6,The response provides a structured approach to risk management and emphasizes the importance of human oversight.,It lacks specific references to the detailed measures outlined in the NIST AI RMF and does not fully cover all key governance requirements.,1161
Q084,baseline,NIST_AI_RMF,intermediate,lending,medium,G4,4.0,4.5,3.5,4.0,4.5,4.0,The response effectively outlines key NIST AI RMF principles and their relevance to financial inclusion.,It lacks specific recommendations for inclusion impact assessments and alternative data considerations as highlighted in the ground truth.,1302
Q085,baseline,NIST_AI_RMF,intermediate,common,medium,G3,4.0,4.5,3.5,4.0,4.5,4.0,The response provides a structured approach to AI risk reporting that aligns well with NIST AI RMF principles.,"It lacks specific details on the required content for the report as outlined in the ground truth, particularly in areas like incident summaries and strategic governance direction.",1301
Q086,baseline,NIST_AI_RMF,advanced,lending,high,G2,4.0,4.5,4.0,4.5,5.0,4.4,The response effectively identifies key stakeholders and emphasizes the importance of human oversight and continuous monitoring.,"While it references relevant regulations, it could benefit from deeper analysis of systemic impacts and specific metrics for long-term evaluation.",1393
Q087,baseline,NIST_AI_RMF,advanced,common,high,G2,3.5,4.0,3.0,4.5,4.0,3.8,The response provides practical mechanisms for detecting novel AI risks and emphasizes the importance of human oversight.,It lacks specific references to NIST AI RMF Measure 3.2 and does not fully cover all recommended mechanisms from the ground truth.,1340
Q088,baseline,NIST_AI_RMF,advanced,common,high,G4,4.0,4.5,4.0,4.5,4.5,4.3,The response effectively outlines a governance structure that aligns with both the Korean AI Basic Act and the EU AI Act while incorporating NIST AI RMF principles.,"While the response covers many key aspects, it could benefit from a more explicit mention of regulatory mapping and jurisdiction determination as outlined in the ground truth.",1469
Q089,baseline,NIST_AI_RMF,intermediate,common,medium,G2,4.0,4.0,3.5,4.5,4.0,4.0,The response effectively identifies key risks and regulatory considerations related to AI profiling in customer segmentation.,"It lacks some specific profiling-related risks outlined in the ground truth, such as predatory targeting and the need for an opt-out mechanism.",1256
Q090,baseline,NIST_AI_RMF,advanced,common,high,G2,3.5,4.0,3.0,4.5,4.0,3.8,The response provides a structured approach to addressing bias and emphasizes stakeholder engagement.,It lacks specific recommendations for immediate internal assessment and industry coordination as outlined in the ground truth.,1283
Q091,baseline,NIST_AI_RMF,intermediate,common,medium,G1,4.0,4.5,3.5,4.0,4.5,4.0,The response effectively outlines measurement strategies and emphasizes the importance of human oversight and compliance.,"It lacks specific metrics and examples directly aligned with NIST AI RMF requirements, which could enhance completeness.",1321
Q092,baseline,NIST_AI_RMF,intermediate,common,medium,G4,4.0,4.0,3.5,4.5,4.0,4.0,The response effectively emphasizes the importance of ethical considerations in AI governance and aligns with NIST AI RMF recommendations.,It lacks specific details on ethics criteria and red flags that should be included in the governance process.,1179
Q093,baseline,NIST_AI_RMF,advanced,common,high,G3,3.5,4.0,3.0,4.5,4.0,3.8,The response provides a structured approach to risk management and emphasizes the importance of human oversight.,"It lacks specific references to the required governance actions outlined in the NIST AI RMF, particularly regarding third-party data sharing.",1258
Q094,baseline,NIST_AI_RMF,intermediate,common,high,G2,4.0,4.5,3.5,4.0,4.5,4.0,The response effectively outlines key protections and emphasizes the importance of human oversight.,It lacks specific references to the detailed requirements of the NIST AI RMF regarding vulnerable populations.,1304
Q095,baseline,NIST_AI_RMF,advanced,common,medium,G4,4.0,4.0,3.0,4.0,4.0,3.8,The response effectively outlines key steps for monitoring AI systems and emphasizes the importance of human oversight for high-risk scenarios.,"The response lacks specific details on risk-tiered monitoring intensity and centralized monitoring platforms, which are critical for comprehensive portfolio-level monitoring.",1316
Q096,baseline,NIST_AI_RMF,intermediate,common,medium,G4,4.0,4.5,3.5,4.0,4.5,4.0,The response effectively outlines a structured approach to compliance management and risk assessment.,It lacks specific details on compliance timeline mapping and proactive engagement with regulatory authorities.,1326
Q097,baseline,NIST_AI_RMF,advanced,common,high,G1,4.0,4.5,3.5,4.0,4.5,4.0,The response effectively outlines regulatory requirements and emphasizes the importance of human oversight in high-risk scenarios.,"It lacks specific references to the NIST AI RMF and the Korean AI Basic Act, which are critical for a comprehensive governance framework.",1380
Q098,baseline,NIST_AI_RMF,intermediate,common,medium,G4,3.5,4.0,3.0,4.5,4.0,3.8,The response provides a structured approach to AI system retirement and emphasizes stakeholder engagement and documentation.,It lacks specific end-of-life criteria and detailed retirement assessment steps as outlined in the NIST AI RMF.,1314
Q099,baseline,NIST_AI_RMF,basic,common,low,G4,4.0,4.0,3.5,4.5,4.0,4.0,The response effectively outlines key governance steps and emphasizes the importance of human oversight.,"It lacks specific references to streamlined documentation and leveraging external resources, which are crucial for small institutions.",1324
Q100,baseline,NIST_AI_RMF,advanced,common,medium,G4,4.0,4.5,4.0,4.5,4.5,4.3,The response effectively maps the NIST AI RMF functions to the operational workflow of an AI Review Committee with relevant regulatory context.,"While the response is comprehensive, it could benefit from more specific examples of how the committee would implement the recommendations in practice.",1402
